iter	RMSE
0	2.65749433
1	2.636689834
2	2.608315662
3	2.581071088
4	2.5617855
5	2.541184969
6	2.517960341
7	2.493905844
8	2.470462595
9	2.447444547
10	2.426612596
11	2.404645081
12	2.38570911
13	2.369273812
14	2.346346731
15	2.328869577
16	2.311625067
17	2.296147339
18	2.278628501
19	2.25592672
20	2.233207841
21	2.2158661
22	2.190281772
23	2.172224184
24	2.147236523
25	2.129657688
26	2.10807007
27	2.09351306
28	2.078254411
29	2.050309541
30	2.032960619
31	2.011431854
32	1.993096115
33	1.973433736
34	1.954675676
35	1.933998121
36	1.919385755
37	1.904406737
38	1.889306397
39	1.87706087
40	1.856828545
41	1.842772413
42	1.823460721
43	1.80396486
44	1.788304759
45	1.776113936
46	1.760318255
47	1.747835615
48	1.731270856
49	1.716493303
50	1.705053825
51	1.693284842
52	1.681416777
53	1.667988445
54	1.656159859
55	1.64249721
56	1.630468689
57	1.619794712
58	1.606489579
59	1.593627481
60	1.581900959
61	1.568433678
62	1.553963138
63	1.543965463
64	1.529765923
65	1.519483321
66	1.503159199
67	1.493637867
68	1.479586097
69	1.466826973
70	1.457084678
71	1.444372822
72	1.431041697
73	1.420982638
74	1.407618988
75	1.395408137
76	1.382764223
77	1.370375308
78	1.361379954
79	1.351091602
80	1.341862102
81	1.330490594
82	1.320976188
83	1.307880487
84	1.29937432
85	1.289835749
86	1.279789914
87	1.268146895
88	1.257475905
89	1.249699758
90	1.239630689
91	1.231290645
92	1.220754815
93	1.20806927
94	1.199974566
95	1.187912806
96	1.176298062
97	1.168966066
98	1.16018218
99	1.152828957
100	1.142106793
101	1.132669439
102	1.124454127
103	1.11718226
104	1.109960791
105	1.102617156
106	1.092426192
107	1.084654588
108	1.077807509
109	1.067955835
110	1.05846577
111	1.050985088
112	1.042767815
113	1.034801981
114	1.027431169
115	1.020163605
116	1.011500404
117	1.003452298
118	0.9964078217
119	0.9897186279
120	0.9818158659
121	0.9752268254
122	0.9684185643
123	0.9605559487
124	0.9534748213
125	0.9472868716
126	0.9403617683
127	0.9334939502
128	0.9277651663
129	0.9192678205
130	0.9109188246
131	0.903506569
132	0.8975808934
133	0.8921122802
134	0.8863976422
135	0.8773527307
136	0.871988651
