iter	Passed	Remaining
0	2	2166
1	4	2141
2	6	2270
3	9	2282
4	11	2217
5	14	2320
6	16	2408
7	18	2297
8	19	2192
9	21	2163
10	23	2123
11	25	2102
12	27	2114
13	30	2145
14	32	2106
15	33	2089
16	35	2070
17	37	2043
18	38	2008
19	40	1996
20	43	2006
21	45	2017
22	46	1984
23	48	1984
24	49	1941
25	51	1940
26	53	1928
27	55	1915
28	57	1927
29	60	1945
30	62	1938
31	64	1939
32	66	1944
33	68	1950
34	70	1948
35	72	1933
36	74	1940
37	75	1921
38	77	1915
39	79	1910
40	81	1909
41	83	1903
42	85	1901
43	86	1875
44	89	1903
45	91	1896
46	93	1893
47	95	1892
48	97	1884
49	99	1884
50	100	1877
51	103	1884
52	105	1879
53	107	1875
54	108	1865
55	110	1856
56	111	1849
57	113	1847
58	115	1836
59	117	1840
60	119	1836
61	120	1824
62	122	1820
63	123	1811
64	125	1802
65	126	1793
66	127	1780
67	129	1771
68	131	1767
69	132	1764
70	134	1754
71	135	1746
72	136	1732
73	137	1721
74	138	1711
75	139	1700
76	140	1686
77	141	1676
78	143	1667
79	144	1659
80	145	1650
81	146	1642
82	147	1631
83	149	1628
84	150	1620
85	151	1612
86	152	1603
87	153	1595
88	155	1587
89	156	1579
90	157	1572
91	158	1561
92	159	1557
93	161	1552
94	162	1546
95	163	1541
96	164	1530
97	165	1527
98	167	1519
99	168	1515
100	169	1510
101	170	1504
102	172	1498
103	173	1492
104	174	1486
105	175	1481
106	176	1476
107	178	1473
108	179	1470
109	180	1460
110	181	1454
111	183	1452
112	184	1450
113	186	1449
114	187	1445
115	189	1443
116	190	1438
117	191	1433
118	193	1429
119	194	1427
120	196	1425
121	197	1423
122	199	1419
123	200	1415
124	201	1411
125	202	1407
126	204	1402
127	205	1398
128	206	1393
129	207	1389
130	209	1387
131	210	1385
132	212	1382
133	213	1379
134	214	1377
135	216	1374
136	217	1371
137	219	1369
138	220	1366
139	221	1362
140	223	1360
141	225	1359
142	226	1358
143	228	1356
144	229	1352
145	230	1349
146	231	1345
147	233	1342
148	234	1339
149	236	1337
150	237	1336
151	239	1335
152	241	1334
153	242	1331
154	243	1324
155	244	1321
156	245	1318
157	246	1315
158	248	1312
159	249	1309
160	250	1306
161	252	1305
162	253	1303
163	255	1302
164	257	1300
165	258	1297
166	259	1295
167	260	1292
168	262	1289
169	263	1286
170	264	1283
171	266	1281
172	267	1278
173	268	1275
174	270	1274
175	271	1272
176	273	1269
177	274	1267
178	275	1264
179	277	1262
180	278	1259
181	280	1258
182	281	1256
183	282	1253
184	284	1251
185	285	1251
186	287	1248
187	288	1247
188	290	1244
189	291	1242
190	292	1239
191	294	1237
192	295	1236
193	297	1234
194	298	1232
195	300	1231
196	301	1229
197	303	1227
198	304	1225
199	305	1222
200	306	1220
201	307	1215
202	309	1213
203	310	1213
204	312	1211
205	313	1208
206	315	1206
207	316	1205
208	318	1204
209	318	1199
210	320	1197
211	321	1195
212	323	1193
213	324	1192
214	326	1191
215	327	1190
216	329	1189
217	331	1188
218	332	1186
219	334	1184
220	335	1182
221	336	1180
222	338	1179
223	340	1178
224	341	1177
225	343	1175
226	344	1173
227	346	1171
228	347	1169
229	348	1167
230	350	1165
231	351	1163
232	352	1161
233	354	1158
234	355	1156
235	356	1154
236	358	1152
237	359	1150
238	361	1149
239	362	1148
240	364	1147
241	365	1145
242	367	1145
243	368	1142
244	370	1140
245	371	1138
246	372	1136
247	373	1134
248	375	1132
249	377	1131
250	378	1130
251	380	1127
252	381	1125
253	382	1123
254	383	1121
255	385	1119
256	386	1117
257	387	1115
258	389	1113
259	391	1113
260	392	1110
261	393	1108
262	394	1106
263	396	1104
264	397	1102
265	398	1100
266	400	1098
267	401	1096
268	402	1094
269	404	1093
270	405	1091
271	407	1090
272	408	1088
273	410	1086
274	411	1084
275	412	1081
276	413	1079
277	414	1077
278	416	1075
279	417	1073
280	418	1072
281	420	1070
282	422	1069
283	423	1068
284	425	1066
285	426	1065
286	428	1064
287	430	1063
288	431	1061
289	433	1061
290	435	1060
291	437	1060
292	439	1059
293	440	1058
294	442	1057
295	443	1055
296	445	1054
297	447	1053
298	449	1052
299	450	1051
300	452	1051
301	454	1051
302	456	1050
303	458	1049
304	459	1047
305	461	1046
306	462	1044
307	464	1042
308	465	1040
309	467	1040
310	469	1039
311	471	1038
312	472	1037
313	474	1036
314	476	1035
315	478	1034
316	479	1034
317	481	1033
318	483	1032
319	485	1032
320	487	1031
321	489	1030
322	491	1029
323	493	1028
324	494	1027
325	496	1025
326	497	1024
327	499	1023
328	501	1022
329	502	1020
330	504	1019
331	505	1017
332	507	1016
333	509	1016
334	511	1014
335	513	1013
336	514	1013
337	516	1012
338	518	1011
339	520	1009
340	521	1008
341	523	1006
342	524	1004
343	526	1003
344	528	1002
345	530	1002
346	532	1001
347	533	999
348	535	998
349	536	996
350	538	994
351	539	993
352	540	991
353	542	990
354	544	989
355	546	988
356	548	987
357	549	986
358	551	984
359	552	983
360	554	981
361	556	980
362	558	979
363	559	978
364	561	976
365	563	975
366	564	974
367	566	972
368	567	971
369	569	969
370	570	968
371	572	966
372	574	965
373	575	963
374	577	961
375	578	960
376	580	958
377	581	956
378	582	954
379	584	953
380	585	951
381	587	949
382	589	949
383	590	947
384	591	945
385	593	943
386	594	942
387	596	940
388	597	938
389	599	936
390	600	935
391	602	933
392	603	932
393	605	930
394	606	929
395	608	927
396	609	926
397	611	924
398	612	923
399	614	922
400	616	920
401	618	919
402	619	918
403	621	916
404	622	914
405	624	913
406	625	911
407	627	909
408	628	908
409	630	906
410	631	904
411	632	903
412	634	902
413	636	900
414	637	899
415	639	897
416	640	895
417	642	893
418	643	892
419	645	891
420	647	890
421	648	888
422	650	887
423	652	886
424	654	885
425	656	884
426	657	882
427	659	880
428	660	879
429	661	877
430	663	875
431	665	874
432	666	873
433	668	871
434	670	870
435	671	868
436	673	867
437	674	865
438	675	863
439	677	862
440	678	860
441	680	859
442	682	857
443	683	856
444	684	854
445	686	852
446	687	850
447	688	848
448	690	846
449	691	845
450	692	843
451	694	841
452	695	840
453	697	838
454	698	836
455	699	835
456	701	833
457	702	831
458	704	829
459	705	828
460	707	826
461	708	825
462	710	824
463	712	822
464	713	821
465	715	819
466	716	817
467	717	816
468	719	814
469	720	812
470	722	811
471	723	809
472	724	807
473	726	806
474	727	804
475	729	802
476	730	801
477	731	799
478	733	797
479	734	795
480	736	794
481	737	792
482	738	790
483	740	789
484	742	788
485	744	786
486	745	785
487	747	783
488	748	782
489	749	780
490	751	778
491	752	777
492	754	775
493	755	774
494	757	772
495	759	771
496	760	769
497	761	768
498	763	766
499	765	765
500	766	763
